TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_2,Exploiter Transfered 21.68SOL from sfS6WHVCyh3YBhDMJByao8uu92Wxah6zSJtwUkdqAC3 worth 886.49USD 0 minutes later,2022-08-02 22:49:16.000
0,Hacker_Wallet_1,Exploiter Transfered 108.62SOL from EpWzmDnBytqsW3JMSx5cpLZqCRc62jdyk2QfMdubK1vq worth 4440.77USD 0 minutes later,2022-08-02 22:49:17.000
0,Hacker_Wallet_2,Exploiter Transfered 939USDC from 88ZsGJz2yJtAheojmcr59TyKc72MHjZy3R6LK7XPyhWu worth 939.62USD 0 minutes later,2022-08-02 22:49:17.000
0,Hacker_Wallet_2,Exploiter Transfered 21.06SOL from 5HJ6HmRMvdocJotF4m8SjrF9bavmRCSaA5KG3Jp5diyi worth 860.84USD 0 minutes later,2022-08-02 22:49:18.000
0,Hacker_Wallet_2,Exploiter Transfered 934.43USDC from GcsVSzPUE4gyqHNvtfmzT4VJk8vnqm3gBCocZifAbsSb worth 935.05USD 0 minutes later,2022-08-02 22:49:19.000
0,Hacker_Wallet_1,Exploiter Transfered 101.43SOL from BheDaNXJPKAy2eddnncjtKBte5M22wepRqhRRcjdCAi9 worth 4146.89USD 0 minutes later,2022-08-02 22:49:19.000
0,Hacker_Wallet_3,Exploiter Transfered 264094787.57MILLI from 8EkUrtaweNaB4u7sDYRhNf8bstZYShxnxGxuUTmmGUfp worth 285448.22USD 0 minutes later,2022-08-02 22:49:19.000
0,Hacker_Wallet_2,Exploiter Transfered 20.96SOL from 8qyUfwMKxWjEePPETQddQ8k4Tcxw2LyuVhdsvEyMxLVq worth 856.76USD 0 minutes later,2022-08-02 22:49:20.000
0,Hacker_Wallet_3,Exploiter Transfered 2000000000.35EURONIN from 6hb5EEB1r9hrL9YE7GQQYxFkcrR2kRpqR2NuA8thyAWU worth 416334.83USD 0 minutes later,2022-08-02 22:49:20.000
0,Hacker_Wallet_2,Exploiter Transfered 21.93SOL from 2wmonhURuayqSmYg2EgCjVvGEq84gSvnXTzqxACQqh7j worth 896.38USD 0 minutes later,2022-08-02 22:49:21.000
0,Hacker_Wallet_2,Exploiter Transfered 1357.4MBS from 8qyUfwMKxWjEePPETQddQ8k4Tcxw2LyuVhdsvEyMxLVq worth 136.4USD 0 minutes later,2022-08-02 22:49:21.000
0,Hacker_Wallet_1,Exploiter Transfered 101.06SOL from 2JwiyW4ZgdfWrwnCTgvG3AZAubw6jb39iYQZRrGm8E7h worth 4131.71USD 0 minutes later,2022-08-02 22:49:22.000
0,Hacker_Wallet_3,Exploiter Transfered 3.52SOBTC from BdmWBV5UzXfVVLgYFgGkTQCmrA4APjyfaX13rmEY8hMb worth 79786.68USD 0 minutes later,2022-08-02 22:49:22.000
0,Hacker_Wallet_2,Exploiter Transfered 28.85MSOL from 8twtNRrydoCNmkXwDWychmiAJSNxuQVwA1VqtE6W1WNt worth 1246.69USD 0 minutes later,2022-08-02 22:49:24.000
0,Hacker_Wallet_2,Exploiter Transfered 21.04SOL from 8twtNRrydoCNmkXwDWychmiAJSNxuQVwA1VqtE6W1WNt worth 860.31USD 0 minutes later,2022-08-02 22:49:24.000
0,Hacker_Wallet_3,Exploiter Transfered 71422931.46VRS from Gq7fPzML38eX6tSedGqCMhmbw7WsaSEYoEZM3BucjZh8 worth 4USD 0 minutes later,2022-08-02 22:49:24.000
0,Hacker_Wallet_1,Exploiter Transfered 199868.14SAMO from 2JwiyW4ZgdfWrwnCTgvG3AZAubw6jb39iYQZRrGm8E7h worth 2615.19USD 0 minutes later,2022-08-02 22:49:24.000
0,Hacker_Wallet_2,Exploiter Transfered 499USDC from 8twtNRrydoCNmkXwDWychmiAJSNxuQVwA1VqtE6W1WNt worth 499.33USD 0 minutes later,2022-08-02 22:49:25.000
0,Hacker_Wallet_3,Exploiter Transfered 843450.64PHY from 9QaevgXh3G6EQHkcCnqdKvZFGFfzZfcfMswi6UaKcv7d worth 61159.7USD 0 minutes later,2022-08-02 22:49:25.000
0,Hacker_Wallet_2,Exploiter Transfered 20.84SOL from 82tCVRZc1SCBF4bFiuAsB3MQ5faunxMkq7MsbBoav7Ni worth 852.2USD 0 minutes later,2022-08-02 22:49:26.000
0,Hacker_Wallet_2,Exploiter Transfered 21.01SOL from 5rud7DMCt5J3otmi1R2hYHrVf3KDvSbknw76PvSuz1ZY worth 858.79USD 0 minutes later,2022-08-02 22:49:26.000
0,Hacker_Wallet_1,Exploiter Transfered 101.01SOL from DmZWFAsZDNxzPz3eMHJBFNZVTKd396dXuX82yenAzTCe worth 4129.59USD 0 minutes later,2022-08-02 22:49:26.000
0,Hacker_Wallet_1,Exploiter Transfered 4485.86USDC from 3DCsYKBfcbnpBemtfbrpdwgZhgFSDsKiqJLM19VefMVb worth 4488.83USD 0 minutes later,2022-08-02 22:49:28.000
0,Hacker_Wallet_2,Exploiter Transfered 781.07USDC from 82tCVRZc1SCBF4bFiuAsB3MQ5faunxMkq7MsbBoav7Ni worth 781.59USD 0 minutes later,2022-08-02 22:49:28.000
0,Hacker_Wallet_2,Exploiter Transfered 20.02SOL from 7yirkCachULhf92f5cyudBiyrW9B3SS1PJByaBnreD19 worth 818.44USD 0 minutes later,2022-08-02 22:49:29.000
0,Hacker_Wallet_1,Exploiter Transfered 4481.5USDC from CyaciSgg55SDmGWBJJFuwiCYJSrdGf66as2HkmCkL4rf worth 4484.47USD 0 minutes later,2022-08-02 22:49:29.000
0,Hacker_Wallet_2,Exploiter Transfered 942.79USDC from Gmqugs8769Nit8YZHpANbpLYziSj5ztZBpwh6Wban6t4 worth 943.41USD 0 minutes later,2022-08-02 22:49:30.000
0,Hacker_Wallet_3,Exploiter Transfered 1395519.63DGE from FQjZj34pVs5FrV7oGoknvLWJqiVALRGcLn1Bj74HWjXb worth 29609.39USD 0 minutes later,2022-08-02 22:49:31.000
0,Hacker_Wallet_2,Exploiter Transfered 92.03AURY from Gmqugs8769Nit8YZHpANbpLYziSj5ztZBpwh6Wban6t4 worth 201.13USD 0 minutes later,2022-08-02 22:49:31.000
0,Hacker_Wallet_1,Exploiter Transfered 4472.85USDC from DCo4yxGbByrNdfoxhgQvZKkbrDxNUZ7KZZttgiNzfA7V worth 4475.81USD 0 minutes later,2022-08-02 22:49:32.000
